cancer_type,age_group,total_count,incident_year
모든 암 ,계,221356,2014
모든 암 ,0-4세,462,2014
모든 암 ,5-9세,280,2014
모든 암 ,10-14세,354,2014
모든 암 ,15-19세,678,2014
모든 암 ,20-24세,1230,2014
모든 암 ,25-29세,2421,2014
모든 암 ,30-34세,5399,2014
모든 암 ,35-39세,8026,2014
모든 암 ,40-44세,13475,2014
모든 암 ,45-49세,17048,2014
모든 암 ,50-54세,23435,2014
모든 암 ,55-59세,25994,2014
모든 암 ,60-64세,23848,2014
모든 암 ,65-69세,24807,2014
모든 암 ,70-74세,28105,2014
모든 암 ,75-79세,23390,2014
모든 암 ,80-84세,14105,2014
모든 암 ,85세이상,8299,2014
모든 암 ,연령미상,0,2014
모든 암 ,계,218748,2015
모든 암 ,0-4세,465,2015
모든 암 ,5-9세,246,2015
모든 암 ,10-14세,342,2015
모든 암 ,15-19세,662,2015
모든 암 ,20-24세,1115,2015
모든 암 ,25-29세,2208,2015
모든 암 ,30-34세,4785,2015
모든 암 ,35-39세,7280,2015
모든 암 ,40-44세,12656,2015
모든 암 ,45-49세,16127,2015
모든 암 ,50-54세,21848,2015
모든 암 ,55-59세,25674,2015
모든 암 ,60-64세,24418,2015
모든 암 ,65-69세,25478,2015
모든 암 ,70-74세,27468,2015
모든 암 ,75-79세,24004,2015
모든 암 ,80-84세,15071,2015
모든 암 ,85세이상,8900,2015
모든 암 ,연령미상,1,2015
모든 암 ,계,233426,2016
모든 암 ,0-4세,461,2016
모든 암 ,5-9세,292,2016
모든 암 ,10-14세,345,2016
모든 암 ,15-19세,713,2016
모든 암 ,20-24세,1284,2016
모든 암 ,25-29세,2482,2016
모든 암 ,30-34세,4778,2016
모든 암 ,35-39세,7808,2016
모든 암 ,40-44세,12624,2016
모든 암 ,45-49세,17268,2016
모든 암 ,50-54세,21797,2016
모든 암 ,55-59세,27996,2016
모든 암 ,60-64세,27852,2016
모든 암 ,65-69세,27228,2016
모든 암 ,70-74세,27557,2016
모든 암 ,75-79세,25688,2016
모든 암 ,80-84세,17128,2016
모든 암 ,85세이상,10124,2016
모든 암 ,연령미상,1,2016
모든 암 ,계,237181,2017
모든 암 ,0-4세,395,2017
모든 암 ,5-9세,266,2017
모든 암 ,10-14세,326,2017
모든 암 ,15-19세,613,2017
모든 암 ,20-24세,1298,2017
모든 암 ,25-29세,2489,2017
모든 암 ,30-34세,4614,2017
모든 암 ,35-39세,8165,2017
모든 암 ,40-44세,12562,2017
모든 암 ,45-49세,17249,2017
모든 암 ,50-54세,21082,2017
모든 암 ,55-59세,28190,2017
모든 암 ,60-64세,28786,2017
모든 암 ,65-69세,27552,2017
모든 암 ,70-74세,27265,2017
모든 암 ,75-79세,27260,2017
모든 암 ,80-84세,18142,2017
모든 암 ,85세이상,10927,2017
모든 암 ,연령미상,0,2017
모든 암 ,계,247251,2018
모든 암 ,0-4세,406,2018
모든 암 ,5-9세,252,2018
모든 암 ,10-14세,319,2018
모든 암 ,15-19세,582,2018
모든 암 ,20-24세,1361,2018
모든 암 ,25-29세,2726,2018
모든 암 ,30-34세,4727,2018
모든 암 ,35-39세,8773,2018
모든 암 ,40-44세,12578,2018
모든 암 ,45-49세,17631,2018
모든 암 ,50-54세,21341,2018
모든 암 ,55-59세,28618,2018
모든 암 ,60-64세,30695,2018
모든 암 ,65-69세,28389,2018
모든 암 ,70-74세,28088,2018
모든 암 ,75-79세,29078,2018
모든 암 ,80-84세,19362,2018
모든 암 ,85세이상,12324,2018
모든 암 ,연령미상,1,2018
